1470070879 e.filters1.1_ID0000007 POST_SCRIPT_TERMINATED 170535.0 local - 10
1470070879 e.filters1.1_ID0000007 POST_SCRIPT_SUCCESS 0 local - 10
1470070886 e.lowabundance1.1_ID0000009 SUBMIT 170538.0 local - 13
1470070892 e.lowabundance1.1_ID0000009 EXECUTE 170538.0 local - 13
1470070922 e.lowabundance1.1_ID0000009 JOB_TERMINATED 170538.0 local - 13
1470070922 e.lowabundance1.1_ID0000009 JOB_SUCCESS 0 local - 13
1470070922 e.lowabundance1.1_ID0000009 POST_SCRIPT_STARTED 170538.0 local - 13
1470070927 e.lowabundance1.1_ID0000009 POST_SCRIPT_TERMINATED 170538.0 local - 13
1470070927 e.lowabundance1.1_ID0000009 POST_SCRIPT_SUCCESS 0 local - 13
1470071038 e.count_ID0000002 JOB_TERMINATED 170532.0 local - 7
1470071038 e.count_ID0000002 JOB_SUCCESS 0 local - 7
1470071038 e.count_ID0000002 POST_SCRIPT_STARTED 170532.0 local - 7
1470071043 e.count_ID0000002 POST_SCRIPT_TERMINATED 170532.0 local - 7
1470071043 e.count_ID0000002 POST_SCRIPT_SUCCESS 0 local - 7
1470071051 e.filters1.2_ID0000008 SUBMIT 170539.0 local - 14
1470071051 e.qc1.2_ID0000004 SUBMIT 170540.0 local - 15
1470071051 e.filters1.2_ID0000008 EXECUTE 170539.0 local - 14
1470071051 clean_up_local_level_3_0 SUBMIT 170541.0 local - 16
1470071051 stage_out_local_local_0_0 SUBMIT 170542.0 local - 17
1470071051 e.qc2.2_ID0000006 SUBMIT 170543.0 local - 18
1470071056 e.qc1.2_ID0000004 EXECUTE 170540.0 local - 15
1470071056 e.qc2.2_ID0000006 EXECUTE 170543.0 local - 18
1470071056 stage_out_local_local_0_0 EXECUTE 170542.0 local - 17
1470071056 clean_up_local_level_3_0 EXECUTE 170541.0 local - 16
1470071056 register_local_0_1 SUBMIT 170544.0 local - 19
1470071061 register_local_0_1 EXECUTE 170544.0 local - 19
1470071061 stage_out_local_local_0_0 JOB_TERMINATED 170542.0 local - 17
1470071061 stage_out_local_local_0_0 JOB_SUCCESS 0 local - 17
1470071061 stage_out_local_local_0_0 POST_SCRIPT_STARTED 170542.0 local - 17
1470071066 stage_out_local_local_0_0 POST_SCRIPT_TERMINATED 170542.0 local - 17
1470071066 stage_out_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 17
1470071066 clean_up_local_level_3_0 JOB_TERMINATED 170541.0 local - 16
1470071066 clean_up_local_level_3_0 JOB_SUCCESS 0 local - 16
1470071066 clean_up_local_level_3_0 POST_SCRIPT_STARTED 170541.0 local - 16
1470071066 register_local_0_1 JOB_TERMINATED 170544.0 local - 19
1470071066 register_local_0_1 JOB_SUCCESS 0 local - 19
